element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
O,5,,14.4865,,3.58e+09,B,213887.0,904183.0,1s2.2p2,3P,2,1s2.2p.(2P*<3/2>).5d,3D*,2,,T5633LS,
O,5,,14.4898,,3.98e+08,C,213887.0,904027.0,1s2.2p2,3P,2,1s2.2p.(2P*<3/2>).5d,3D*,1,,T5633LS,
O,5,,14.6351,,4.01e+09,B,158797.7,842087.0,1s2.2s.2p,1P*,1,1s2.2s.6d,1D,2,,T5633,
O,5,,14.7263,,9.52e+09,B,158797.7,837855.0,1s2.2s.2p,1P*,1,1s2.2p.(2P*<3/2>).4p,1D,2,,T5633,
O,5,,14.9038,,4.76e+09,B,231721.4,902691.0,1s2.2p2,1D,2,1s2.2p.(2P*<1/2>).5d,1D*,2,,T5633,
O,5,,14.9076,,7.28e+09,B,158797.7,829597.0,1s2.2s.2p,1P*,1,1s2.2p.(2P*<1/2>).4p,1P,1,,T5633,
O,6,,15.0089,,2.62e+10,A,0.0,666269.8,1s2.2s,2S,1/2,1s2.3p,2P*,3/2,,T5118LS,
O,6,,15.0125,,2.62e+10,A,0.0,666113.2,1s2.2s,2S,1/2,1s2.3p,2P*,1/2,,T5118LS,
O,5,15.1447,15.1447,80,1.26e+10,B,81942.5,742239.4,1s2.2s.2p,3P*,0,1s2.2s.4d,3D,1,,T5633LS,L552
O,5,15.1477,15.1477,110*,1.70e+10,B,82078.6,742244.1,1s2.2s.2p,3P*,1,1s2.2s.4d,3D,2,,T5633LS,L552
O,5,15.1477,15.1478,110*,9.47e+09,B,82078.6,742239.4,1s2.2s.2p,3P*,1,1s2.2s.4d,3D,1,,T5633LS,L552
O,5,15.1546,15.1547,150*,2.27e+10,B,82385.3,742248.6,1s2.2s.2p,3P*,2,1s2.2s.4d,3D,3,,T5633LS,L552
